,Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,stock_symbol,overall_profit,2017_value,2018_value,2019_value,2020_value,2017_profit,2018_profit,2019_profit,2020_profit
0,A,Agilent Technologies Inc. Common Stock,$155.70,0.66,0.426%,47246110133.0,United States,1999.0,1209255,Capital Goods,Electrical Products,A,84.78630163406528,59.32968129009839,67.16936284707361,75.21182537078856,80.14174549163334,36.79902172669338,13.21375976830605,11.9734089811533,6.554714097870432
1,AA,Alcoa Corporation Common Stock ,$40.71,1.96,5.058%,7607321211.0,,2016.0,6141478,Basic Industries,Aluminum,AA,-42.95594536776742,38.30167330403727,44.206095737290106,23.68948413455297,13.604127066476007,60.60440583839645,15.415573064873033,-46.411272609696496,-42.57313924943887
2,AACG,ATA Creativity Global American Depositary Shares,$2.86,-0.01,-0.348%,90665398.0,China,,31263,Miscellaneous,Service to the Health Industry,AACG,,,,1.941717167093296,1.1444444363079374,,,,-41.06018859476104
3,AAL,American Airlines Group Inc. Common Stock,$21.02,0.11,0.526%,13609563608.0,United States,,28254416,Transportation,Air Freight/Delivery Services,AAL,-40.81849191507587,47.49071721536705,42.801952149288596,30.879325503394718,22.597777760218058,24.373834217801853,-9.873013803550789,-27.855333804189673,-26.819069419978828
4,AAMC,Altisource Asset Management Corp Com,$15.64,0.6,3.989%,32035709.0,United States,,9312,Finance,Investment Managers,AAMC,-24.24639778678116,79.7133466864962,61.08410347410407,19.29849203427632,15.634761916266546,286.227381543345,-23.370293666955046,-68.40668695013639,-18.98454092424721
5,AAME,Atlantic American Corporation Common Stock,$4.53,0.29,6.84%,92483492.0,United States,,28547,Finance,Life Insurance,AAME,-44.5874851395393,3.6278884486848137,2.920517921447754,2.4244841294629236,2.206825386910212,-8.90515227563846,-19.498133342371553,-16.98444609231974,-8.977528040199118
6,AAN,Aarons Holdings Company Inc. Common Stock ,$27.65,-0.31,-1.109%,903396422.0,United States,2020.0,135711,Technology,Diversified Commercial Services,AAN,81.54394833997314,36.57764934828557,45.54414346398586,58.28353182474771,45.25126991574727,46.74617742323196,24.513587601879486,27.971518162012572,-22.360110139150553
7,AAOI,Applied Optoelectronics Inc. Common Stock,$7.15,-0.55,-7.143%,192063929.0,United States,2013.0,1627372,Technology,Semiconductors,AAOI,-36.146879412727436,53.21657380639793,31.517709279915252,11.577638909930274,10.50119045802525,223.586579834342,-40.77463649843981,-63.26624245719482,-9.29765093106974
8,AAON,AAON Inc. Common Stock,$67.25,4.02,6.358%,3526264981.0,United States,,214845,Capital Goods,Industrial Machinery/Components,AAON,91.40019323523028,34.99262951094791,35.96386442146453,46.07948406158932,52.19111100454179,28.32829041752745,2.7755413756853127,28.127176550269212,13.263227806074688
9,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,$205.72,-0.62,-0.30%,13462084336.0,United States,,521438,Consumer Services,Other Specialty Stores,AAP,-17.11091158179206,122.57486071339642,139.24756935393194,158.5430555192251,128.88269781687902,-21.16770800407914,13.602062073331265,13.856964437381988,-18.708077503116776
10,AAPL,Apple Inc. Common Stock,$146.14,-0.7,-0.477%,2533678867600.0,United States,1980.0,54087029,Technology,Computer Manufacturing,AAPL,180.40838783956855,150.55107548322334,189.0534267957467,208.2559521993001,293.3184121752542,43.92476779991714,25.574278489172176,10.15719510035639,40.84515188048484
11,AAT,American Assets Trust Inc. Common Stock,$37.93,0.33,0.878%,2293705425.0,United States,2011.0,218454,Consumer Services,Real Estate Investment Trusts,AAT,-1.263860752843361,40.816573731927754,36.67250988872877,45.744722214956134,40.15873043120853,0.3535436582319976,-10.152894925517456,24.738454918286585,-12.211226811038046
12,AAU,Almaden Minerals Ltd. Common Shares,$0.4264,-0.0151,-3.42%,58511208.0,Canada,2015.0,267484,Basic Industries,Precious Metals,AAU,-62.08409132838827,1.1595617549352912,0.722549801091274,0.6221825387033205,0.4219047599841678,4.2079676960036245,-37.68768260802155,-13.890705143973165,-32.189553107123196
13,AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$72.87,2.35,3.332%,2113872349.0,United States,,438396,Transportation,Transportation Services,AAWW,-39.89733285993636,57.05115536389598,60.71298808975524,37.85285713559105,24.982222208901053,37.254667423884506,6.418507570096635,-37.65278513449023,-34.001752841500604
